id_candidato,nombre_candidato,sexo,region,circunscripcion,pacto,subpacto,sigla_partido,partido,gasto_total_declarado,num_transacciones_gasto,estado_cuenta_auditoria,declara_gasto,outlier_gasto_iqr
FERNANDO_ALEX_FERNANDEZ_BARRAZA__ARICA,FERNANDO ALEX FERNANDEZ BARRAZA,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,POPULAR,POPULAR,300000,1,Aprueba,Sí,No
SERGIO_LEANDRO_MORALES_IMANA__ARICA,SERGIO LEANDRO MORALES IMAÑA,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,PH,PARTIDO HUMANISTA,610000,8,Aprueba,Sí,No
ANTONIO_LUCIO_MAITA_FLORES__ARICA,ANTONIO LUCIO MAITA FLORES,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,PH,PARTIDO HUMANISTA,1340008,7,Aprueba con Observaciones,Sí,No
DAVID_JORGE_ANTONIO_PADILLA_RAMIREZ__ARICA,DAVID JORGE ANTONIO PADILLA RAMIREZ,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,PH,PARTIDO HUMANISTA,370000,2,Aprueba con Observaciones,Sí,No
ALEXANDRA_CASTILLO_BACIAN__ARICA,ALEXANDRA CASTILLO BACIAN,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,PH,PARTIDO HUMANISTA,2100000,18,Aprueba,Sí,No
ANDREA_ROSITA_CHELLEW_STAMBUK__ARICA,ANDREA ROSITA CHELLEW STAMBUK,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,PH,PARTIDO HUMANISTA,5274668,34,Aprueba,Sí,No
CARLOS_JORGE_OJEDA_MURILLO__ARICA,CARLOS JORGE OJEDA MURILLO,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,PH,PARTIDO HUMANISTA,6996546,30,Aprueba con Observaciones,Sí,No
IVAN_MARTIN_ROMERO_MENACHO__ARICA,IVAN MARTIN ROMERO MENACHO,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,IND,INDEPENDIENTES,1350000,3,Aprueba con Observaciones,Sí,No
INGRID_GISELA_ROBLES_ARAYA__ARICA,INGRID GISELA ROBLES ARAYA,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,IND,INDEPENDIENTES,12611237,156,Aprueba con Observaciones,Sí,No
SUSANA_ALEJANDRA_PALLERES_FLORES__ARICA,SUSANA ALEJANDRA PALLERES FLORES,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,IND,INDEPENDIENTES,500000,1,Aprueba,Sí,No
SILVIA_JOCELYN_MUNOZ_DONOSO__ARICA,SILVIA JOCELYN MUÑOZ DONOSO,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,IZQUIERDA ECOLOGISTA POPULAR,No aplica,IND,INDEPENDIENTES,500000,1,Aprueba,Sí,No
ALFREDO_ENRIQUE_TAPIA_CONTRERAS__ARICA,ALFREDO ENRIQUE TAPIA CONTRERAS,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,PARTIDO COMUNISTA E INDEPENDIENTES,PCCH,PARTIDO COMUNISTA DE CHILE,4558903,18,Aprueba,Sí,No
MARIA_JOSE_VICTORIANO_CAUTIVO__ARICA,MARIA JOSE VICTORIANO CAUTIVO,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,PARTIDO COMUNISTA E INDEPENDIENTES,PCCH,PARTIDO COMUNISTA DE CHILE,2024925,13,Aprueba con Observaciones,Sí,No
PAUL_GABRIEL_GONZALEZ_CARRASCO__ARICA,PAUL GABRIEL GONZALEZ CARRASCO,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,PARTIDO COMUNISTA E INDEPENDIENTES,PCCH,PARTIDO COMUNISTA DE CHILE,2426550,7,Aprueba con Observaciones,Sí,No
FANNY_JEANETTE_BARRIENTOS_CRUZATT__ARICA,FANNY JEANETTE BARRIENTOS CRUZATT,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,PARTIDO COMUNISTA E INDEPENDIENTES,PCCH,PARTIDO COMUNISTA DE CHILE,0,0,Rechaza,No,No
HANS_ALEX_NEIRA_MALUENDA__ARICA,HANS ALEX NEIRA MALUENDA,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,PARTIDO COMUNISTA E INDEPENDIENTES,PCCH,PARTIDO COMUNISTA DE CHILE,934350,2,Aprueba con Observaciones,Sí,No
SABINA_BERTA_PONCE_CANCINO__ARICA,SABINA BERTA PONCE CANCINO,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,PARTIDO COMUNISTA E INDEPENDIENTES,PCCH,PARTIDO COMUNISTA DE CHILE,2414350,15,Aprueba con Observaciones,Sí,No
CONSTANZA_BARRAZA_HONORATO__ARICA,CONSTANZA BARRAZA HONORATO,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,ACCION HUMANISTA E INDEPENDIENTES,AH,PARTIDO ACCIÓN HUMANISTA,1780000,5,Aprueba con Observaciones,Sí,No
PAUL_CARVAJAL_QUIROZ__ARICA,PAUL CARVAJAL QUIROZ,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,ACCION HUMANISTA E INDEPENDIENTES,IND,INDEPENDIENTES,2740000,11,Aprueba,Sí,No
IVAN_PAREDES_FIERRO__ARICA,IVAN PAREDES FIERRO,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,ACCION HUMANISTA E INDEPENDIENTES,IND,INDEPENDIENTES,9722740,9,Aprueba,Sí,No
PAULA_CONCHA_PALACIOS__ARICA,PAULA CONCHA PALACIOS,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,ACCION HUMANISTA E INDEPENDIENTES,IND,INDEPENDIENTES,1280000,4,Aprueba,Sí,No
FERNANDO_CABRALES_GOMEZ__ARICA,FERNANDO CABRALES GOMEZ,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,TODAS Y TODOS POR CHILE,ACCION HUMANISTA E INDEPENDIENTES,IND,INDEPENDIENTES,820000,3,Aprueba,Sí,No
SOLEDAD_ELVIRA_LARA_QUINTANA__ARICA,SOLEDAD ELVIRA LARA QUINTANA,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES,No aplica,PSC,PARTIDO SOCIAL CRISTIANO,1882365,13,Aprueba con Observaciones,Sí,No
NATALY_CRUZ_PLAZA__ARICA,NATALY CRUZ PLAZA,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES,No aplica,PSC,PARTIDO SOCIAL CRISTIANO,2494700,10,Aprueba con Observaciones,Sí,No
