id_candidato,nombre_candidato,sexo,region,circunscripcion,letra_lista,pacto,subpacto,sigla_partido,partido,numero_papeleta,posicion_lista,primero_lista,tamano_lista,numero_listas_circunscripcion,votos,votos_lista,porcentaje_votos_lista,electo
FERNANDO_ALEX_FERNANDEZ_BARRAZA__ARICA,FERNANDO ALEX FERNANDEZ BARRAZA,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,POPULAR,POPULAR,100,1,Sí,11,13,450,7671,5.86625,No
SERGIO_LEANDRO_MORALES_IMANA__ARICA,SERGIO LEANDRO MORALES IMAÑA,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,PH,PARTIDO HUMANISTA,101,2,No,11,13,665,7671,8.669013,No
ANTONIO_LUCIO_MAITA_FLORES__ARICA,ANTONIO LUCIO MAITA FLORES,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,PH,PARTIDO HUMANISTA,102,3,No,11,13,281,7671,3.663147,No
DAVID_JORGE_ANTONIO_PADILLA_RAMIREZ__ARICA,DAVID JORGE ANTONIO PADILLA RAMIREZ,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,PH,PARTIDO HUMANISTA,103,4,No,11,13,251,7671,3.272064,No
ALEXANDRA_CASTILLO_BACIAN__ARICA,ALEXANDRA CASTILLO BACIAN,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,PH,PARTIDO HUMANISTA,104,5,No,11,13,828,7671,10.793899,No
ANDREA_ROSITA_CHELLEW_STAMBUK__ARICA,ANDREA ROSITA CHELLEW STAMBUK,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,PH,PARTIDO HUMANISTA,105,6,No,11,13,418,7671,5.449094,No
CARLOS_JORGE_OJEDA_MURILLO__ARICA,CARLOS JORGE OJEDA MURILLO,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,PH,PARTIDO HUMANISTA,106,7,No,11,13,1302,7671,16.973015,Sí
IVAN_MARTIN_ROMERO_MENACHO__ARICA,IVAN MARTIN ROMERO MENACHO,H,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,IND,INDEPENDIENTES,107,8,No,11,13,1593,7671,20.766523,No
INGRID_GISELA_ROBLES_ARAYA__ARICA,INGRID GISELA ROBLES ARAYA,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,IND,INDEPENDIENTES,108,9,No,11,13,1012,7671,13.192543,No
SUSANA_ALEJANDRA_PALLERES_FLORES__ARICA,SUSANA ALEJANDRA PALLERES FLORES,M,REGIÓN DE ARICA Y PARINACOTA,ARICA,B,IZQUIERDA ECOLOGISTA POPULAR,,IND,INDEPENDIENTES,109,10,No,11,13,542,7671,7.065572,No
