Candidatos|Votos|Porcentaje
2024 Única votación Región DE ARICA Y PARINACOTA
CIFUENTES  GONZALEZ  ROMINA CECILIA| 4,472|  2.9
GOMEZ  GUTIERREZ  IGNACIO ALFREDO| 4,242|  2.75
PAREDES  FIERRO  IVAN| 2,657|  1.72
LY  FUMEY  LIN-KIU ODILA| 2,594|  1.68
MORALES  FLORES  DENISSE ANDREA| 2,294|  1.49
DIAZ  CARVAJAL  ALEJANDRO ESTEBAN| 2,263|  1.47
FORNES  CARCAMO  ELENA MARCELA| 2,187|  1.42
VILLANUEVA  ROSALES  CRISTIAN GODOFREDO| 2,116|  1.37
CLAVIJO  MEDALLA  SOFIA| 2,047|  1.33
EMPARAN  RAMIREZ  CAROLINA ANDREA| 1,958|  1.27
ARAYA  VALDECCHY  LUIS FRANCISCO| 1,940|  1.26
GONZALEZ  OLIVARES  MARCELO EMMANUEL| 1,931|  1.25
BORQUEZ  CASTILLO  LEONARDO| 1,888|  1.23
PANTOJA  RIVERA  OSCAR| 1,880|  1.22
ZAPATA  VALENZUELA  DAVID HECTOR| 1,859|  1.21
ERPEL  SEGUEL  ROBERTO| 1,828|  1.19
PASTEN  GALVEZ  YEAN MIGUEL| 1,752|  1.14
NEVERMANN  BU-ANTUN  KLAUS ABDIEL| 1,751|  1.14
MOYA  MUÑOZ  PATRICIO| 1,733|  1.12
ROMERO  MENACHO  IVAN MARTIN| 1,593|  1.03
VICTORIANO  CAUTIVO  MARIA JOSE| 1,575|  1.02
MUSSA  VALENZUELA  LORENA| 1,521|  0.99
SUPANTA  AYCA  ANA MARICELA| 1,483|  0.96
TAPIA  CONTRERAS  ALFREDO ENRIQUE| 1,474|  0.96
OPAZO  OLAVARRIA  CARLOS ANDRES| 1,469|  0.95
PINTO  RIOS  NESTOR ANGEL| 1,412|  0.92
OJEDA  MURILLO  CARLOS JORGE| 1,302|  0.84
CARVAJAL  QUIROZ  PAUL| 1,299|  0.84
CASTILLO  LILLO  NEIL| 1,209|  0.78
FERNANDEZ  VALCARCE  CATALINA| 1,159|  0.75
VILLARROEL  SARMIENTO  MARCELO ENRIQUE| 1,131|  0.73
LUZA  ESPINOZA  MARIO| 1,071|  0.69
BARRIENTOS  CRUZATT  FANNY JEANETTE| 1,061|  0.69
MUÑOZ  RETAMALES  EDGAR| 1,061|  0.69
ROBLES  ARAYA  INGRID GISELA| 1,012|  0.66
PRADENAS  SOTO  CRISTIAN| 990|  0.64
MUÑOZ  DROGUETT  CAROLINA MABEL| 988|  0.64
ESTAY  ESPINOZA  NINO SEGUNDO| 964|  0.63
ALCORCE  HUAMAN  NAKITA FERNANDA| 951|  0.62
CARTAGENA  CHAVEZ  JORGE| 938|  0.61
OSSES  FAUNDEZ  ELIZABETH ROSSANA| 934|  0.61
CAMPUSANO  YAÑEZ  GONZALO DANIEL| 932|  0.6
MOLLO  CAICONTE  ROCIO BELEN| 926|  0.6
ROCHA  VILLALBA  KAREN| 919|  0.6
ALMARZA  REYES  DIEGO ENRIQUE| 912|  0.59
AGUIRRE  FLORES  IRENE DEL CARMEN| 912|  0.59
CASTILLO  MORGADO  MARITSSA ELIZABETH| 895|  0.58
CASTILLO  BACIAN  ALEXANDRA| 828|  0.54
MIRANDA  TORRES  CLAUDIA ROSARIO| 821|  0.53
HERESI  FLORES  SOHEL LEONARDO| 802|  0.52
ARAYA  ARAVENA  SEBASTIAN| 785|  0.51
SALAS  TORRICO  CRISTHIAN ABDON| 780|  0.51
FERRY  CAMPODONICO  CARLOS ENRIQUE| 779|  0.51
MOLINA  ARANCIBIA  MILENE ROSSINA| 761|  0.49
OSORIO  CORTES  IVAN ANDRES| 731|  0.47
MERUVIA  MERUVIA  JUAN FRANCISCO| 729|  0.47
JIMENEZ  CACERES  EMILIO JOSE| 695|  0.45
MORALES  IMAÑA  SERGIO LEANDRO| 665|  0.43
AZOCAR  SILES  MONICA ROSA| 660|  0.43
LARA  QUINTANA  SOLEDAD ELVIRA| 660|  0.43
DURAN  FLORES  DINA| 656|  0.43
SULANTAY  HERNAEZ  LISETTE VERONICA| 652|  0.42
MAMANI  VICENTE  LINO EUSTAQUIO| 652|  0.42
COFRE  CORTES  ORLANDO SEBASTIAN| 644|  0.42
DIAZ  CALDERON  JAVIER ENRIQUE| 634|  0.41
CEBALLOS  MERIÑO  LUIS MIGUEL| 615|  0.4
VILLARROEL  GARCIA  JAVIER IGNACIO| 614|  0.4
MENCIA  POCONI  FRIEDRICH RENARD| 610|  0.4
PADILLA  RAMIREZ  GASTON ERNESTO| 588|  0.38
GODOY  LEAL  SEBASTIAN NICOLAS| 582|  0.38
LOZANO  GALINDO  SERGIO| 580|  0.38
CASTILLO  ORIZOLA  JORGE SOCRATES| 575|  0.37
CASTILLO  QUISPE  VIOLETA CLEISY| 575|  0.37
CRUZ  PLAZA  NATALY| 571|  0.37
GONZALEZ  CARRASCO  PAUL GABRIEL| 571|  0.37
DURAN  LOPEZ  JULIE ALEJANDRA| 571|  0.37
PORTILLA  MONSALVE  RICARDO ORLANDO| 570|  0.37
VERA  CARLOS  CLAUDIA VERONICA| 566|  0.37
SOTO  GONZALEZ  MARCELO| 566|  0.37
ORTIZ  VILDOSO  VIVIANA| 559|  0.36
ESCUDERO  GUARDIA  LORY BERNIE| 551|  0.36
PEREZ  CORTES  ANDREA ELIZABETH| 548|  0.36
PALLERES  FLORES  SUSANA ALEJANDRA| 542|  0.35
BARRAZA  HONORATO  CONSTANZA| 540|  0.35
BRAVIN  DIAZ  PAULINA| 539|  0.35
LEIVA  PIZARRO  MIGUEL ANGEL| 538|  0.35
PARADA  JIMENEZ  ARIEL RICARDO| 527|  0.34
CHAVEZ  VICENTELO  BEATRIZ| 527|  0.34
RODRIGUEZ  ORTIZ  ANGELO ENRIQUE| 517|  0.34
SANTIS  ZUÑIGA  CESAR ANTONIO| 513|  0.33
ZAPATA  LEIVA  CARMEN| 502|  0.33
VENTURA  VASQUEZ  LORENA| 458|  0.3
BERETTA  RIQUELME  GUILLERMO| 455|  0.3
FERNANDEZ  BARRAZA  FERNANDO ALEX| 450|  0.29
GONZALEZ  FLORES  RODOLFO IGNACIO| 440|  0.29
GODOY  ORDOÑEZ  RICARDO| 436|  0.28
RUIZ  GUZMAN  ROMULO| 429|  0.28
DIAZ  VASQUEZ  MANUEL| 424|  0.28
CHELLEW  STAMBUK  ANDREA ROSITA| 418|  0.27
LINARES  ZEGARRA  DANIEL ALEXIS| 418|  0.27
AVALOS  AVILES  ALEJANDRO| 412|  0.27
GOMEZ  GALLARDO  HERMES| 408|  0.26
TAPIA  CARVAJAL  MARIANELA DEL ROSARIO| 399|  0.26
CONCHA  PALACIOS  PAULA| 397|  0.26
NEIRA  MALUENDA  HANS ALEX| 377|  0.24
PONCE  CANCINO  SABINA BERTA| 348|  0.23
VARGAS  PALMA  MARLY CECILIA| 330|  0.21
MUÑOZ  DONOSO  SILVIA JOCELYN| 329|  0.21
CASTILLO  TAPIA  CAROLINA ANDREA| 315|  0.2
MUÑOZ  CABRERA  JUAN MANUEL| 312|  0.2
CABRALES  GOMEZ  FERNANDO| 306|  0.2
SUAZO  BARRAZA  EDITH| 301|  0.2
MAITA  FLORES  ANTONIO LUCIO| 281|  0.18
MERY  AHUMADA  HERNAN IPAX| 276|  0.18
RODRIGUEZ  DE LA RIVA  FRANCISCO| 275|  0.18
PEREZ  INQUILTUPA  ENRIQUE MANUEL| 274|  0.18
FUENTES  PALAVECINOS  OSCAR RODRIGO| 266|  0.17
PAZ  FUENTES  CLAUDIO ANDRES| 263|  0.17
OSSANDON  VASQUEZ  RAUL ROLANDO| 254|  0.16
PADILLA  RAMIREZ  DAVID JORGE ANTONIO| 251|  0.16
TRUJILLO  OSORIO  MARICELA MARA| 249|  0.16
PALMA  LOPEZ  ARIELLE JESUS| 247|  0.16
RIVERA  PINTO  PATRICIA ROMINA| 239|  0.16
PALLERES  VEAS  CECILIA IRENE| 225|  0.15
PAREDES  JIMENEZ  RODRIGO| 218|  0.14
SUPANTA  CASTILLO  MIGUEL ERIK| 216|  0.14
POMA  CASTRO  DIANA| 213|  0.14
TAPIA  SAAVEDRA  JORGE WILLIAMS| 207|  0.13
BILBAO  APATA  CRISTIAN ANDRES| 195|  0.13
SANTOS  CONDORI  CAROLA VICTORIA| 195|  0.13
SEGUEL  GUARACHI  SEGUNDO| 194|  0.13
VASQUEZ  SANTIBAÑEZ  RODRIGO ALBERTO| 191|  0.12
RAMIREZ  CERDA  GALIA LENOSHKA| 187|  0.12
LLUSCO  AJATA  JAVIER EDWIN| 184|  0.12
VILLANUEVA  SARCO  FLORENCIO MARTIN| 168|  0.11
SILVA  VILLEGAS  ERNESTINA| 161|  0.1
FERNANDEZ  BLANCO  CARLOS| 145|  0.09
HUANCA  PAIRO  DINA| 138|  0.09
FLORES  CONDORI  FREDDY ANGEL| 117|  0.08
LOPEZ  VILLAZON  SERGIO| 114|  0.07
PAREDES  CHOQUE  EDGARD GUSTAVO| 112|  0.07
CHAMBILLA  VILLALOBOS  ANTONY| 111|  0.07
VALENZUELA  CORTES  MACARENA PAOLA| 85|  0.06
MORALES  IMAÑA  ALEJANDRO FIDEL| 74|  0.05
