Candidatos|Votos|Porcentaje
2024 Única votación Región DE TARAPACA
RAMIREZ  PALMA  LORENA ANDREA| 6,284|  3.02
TRINCADO  AVILES  GIOVANNA| 4,707|  2.26
JOFRE  NUÑEZ  NESTOR| 3,984|  1.92
MILLA  RAMIREZ  LUIS DOMINGO| 3,876|  1.86
MUÑOZ  GONZALEZ  JORGE MARIANO| 3,601|  1.73
NAVARRO  PINO  CAMILA ANDREA| 3,146|  1.51
FERREIRA  HERRERA  ANALLY PATRICIA| 3,096|  1.49
MANCILLA  RIVEROS  CARLOS DANIEL| 2,927|  1.41
HEYNE  BOLADOS  KAREN ROSE| 2,901|  1.39
ESTICA  ESTEBAN  HUGO NICOLAS| 2,791|  1.34
LANATA  MIRANDA  GIORGIO STEFANO| 2,659|  1.28
MELLADO  SANHUEZA  CLAUDIA ANDREA| 2,361|  1.14
LOPEZ  AVALOS  OCTAVIO| 2,160|  1.04
MAMANI  MAMANI  EDUARDO| 2,090|  1.0
JIMENEZ  DINAMARCA  SOLANGE| 2,035|  0.98
ARANEDA  BARAHONA  FREDDY MARCOS| 1,971|  0.95
LOBOS  LARA  LAUTARO ENRIQUE| 1,969|  0.95
CARVAJAL  VELIZ  LUIS RODOLFO| 1,917|  0.92
QUIROZ  CANCINO  GERMAN| 1,891|  0.91
MAMANI  MAMANI  ANTONIO| 1,858|  0.89
CISTERNAS  FLORES  PEDRO ARMANDO| 1,855|  0.89
ESPINOZA  BLANCO  CRISTOBAL ALBERTO| 1,830|  0.88
BUCCIONI  MALDONADO  PIERA DANIELLA| 1,797|  0.86
CALLPA  FLORES  LUCERO ISABEL| 1,782|  0.86
GATTAVARA  FERNANDEZ  ANTONIO EMILIO| 1,779|  0.86
VILLEGAS  CARVAJAL  CLAUDIA EVELYN| 1,778|  0.85
ESPINOZA  CAQUEO  PABLO| 1,546|  0.74
ASSERELLA  ALVARADO  SERGIO| 1,514|  0.73
LINCHEO  TORREJON  FRANCISCO| 1,502|  0.72
VEGA  VILLENA  VICTOR| 1,474|  0.71
JIMENEZ  CORREA  IVAN| 1,443|  0.69
SCHMIDT  SILVA  MAURICIO| 1,407|  0.68
ROMERO  ARANCIBIA  BYRON| 1,406|  0.68
ESQUIVEL  MORALES  YONATAN PAUL| 1,401|  0.67
MORAGA  MAMANI  RUBEN JOAQUIN| 1,395|  0.67
NOVOA  MACAYA  ISABEL| 1,340|  0.64
GONZALEZ  CARROZA  IVETTE KATHERINE| 1,301|  0.63
TABILO  SILVA  RICARDO| 1,297|  0.62
ARANCIBIA  CORTES  FRANCISCO JAVIER| 1,279|  0.61
VALDERRAMA  ARANCIBIA  ELBA NORFA| 1,276|  0.61
TORRES  CHAVEZ  ROSITA NERILDA| 1,272|  0.61
VALDES  MILLA  CHRISTIAAN| 1,253|  0.6
ARACENA  CERDA  JORGE| 1,221|  0.59
GARAY  FIERRO  ALVARO MAURICIO| 1,184|  0.57
GREEVEN  FRANK  GRACE CATHERINE| 1,178|  0.57
CORTEZ  DAZA  LORENZO| 1,171|  0.56
ARANCIBIA  ROJAS  BAIRON MANUEL| 1,132|  0.54
MARROQUIN  GUZMAN  JUAN LUIS| 1,129|  0.54
EL ALAM  QISIEH  JAMAL SALEM| 1,079|  0.52
HERNANDEZ  PEREZ  CLAUDIA| 1,078|  0.52
POBLETE  UGARTE  PAULINA| 1,020|  0.49
ARANGUIZ  LOZAN  EXEQUIEL ENRIQUE| 1,006|  0.48
PAINENAHUEL  GARCES  MIGUEL ANGEL| 1,000|  0.48
MONTES  GONZALEZ  RAFAEL ALEJANDRO| 993|  0.48
ILAJA  VALDIVIA  BERNARDO| 969|  0.47
GARCIA  MARIN  CRISTIAN| 969|  0.47
MARTINEZ  ARTEAGA  ENRIQUE BENITO| 965|  0.46
BURG  SEPULVEDA  JHON SEBASTIAN| 946|  0.45
TAPIA  LADINO  MARCELA AURORA| 917|  0.44
RODRIGUEZ  ELGUETA  TITO ALEJANDRO| 916|  0.44
ZARRICUETA  ROJAS  MAURO| 903|  0.43
ARAYA  CERDA  HECTOR HUMBERTO| 893|  0.43
HUERTA  MORAGA  JUAN CARLOS| 860|  0.41
PEÑA  ARANCIBIA  PAOLA| 842|  0.4
SEPULVEDA  NUÑEZ  FRANCISCO JAVIER| 829|  0.4
ALBORNOZ  ORDINOLA  MIGUEL ANGEL| 829|  0.4
ALVARADO  OLCAY  CATERINA JAVIERA| 817|  0.39
MAMANI  CASTRO  HONORIO HILARIO| 816|  0.39
FERNANDEZ  CISTERNAS  FRANCO ANTONIO| 808|  0.39
TICUNA  GONZALEZ  CONSTANZA DANIELA| 807|  0.39
GARCES  PINTO  MANUEL JONATHAN| 799|  0.38
SCIARAFFIA  ESTRADA  BRUNETTO| 797|  0.38
REYES  HIDALGO  PABLO EDUARDO| 792|  0.38
VALENZUELA  ESPINOZA  IVAN| 776|  0.37
MELLA  LATORRE  CARLOS ALBERTO| 772|  0.37
OTEIZA  ARENA  MANUEL JESUS| 767|  0.37
JUSTINIANO  SALAZAR  VIDLIN| 765|  0.37
