Candidatos|Votos|Porcentaje
2024 Única votación Región DE ATACAMA
SANTANA  ALVAREZ  JUAN HORACIO| 9,077|  4.38
CORTEZ  PALLAUTA  FRANCISCO| 6,615|  3.19
BIANCHI  CAÑAS  EMILIO CRISTIAN| 4,998|  2.41
PEREZ  TAPIA  FABIOLA DEL CARMEN| 4,943|  2.38
ALFARO  MORALES  PATRICIO SERGIO| 4,462|  2.15
SAN MARTIN  SALGADO  MIGUEL ANGEL| 3,357|  1.62
TORRES  TORRES  JORGE NELSON| 3,104|  1.5
BUGUEÑO  ROJAS  HUGO ALEJANDRO| 3,046|  1.47
BRUZZONE  GALEB  ROBERTO DANIEL| 2,973|  1.43
VARGAS  VILLALOBOS  FERNANDO FELIX| 2,662|  1.28
GHIGLINO  PIZARRO  FERNANDO| 2,581|  1.24
ADASME  PADILLA  LUIS DAGOBERTO| 2,380|  1.15
GODOY  DORADOR  STEPHANIA DIANA| 2,357|  1.14
VERDUGO  HERRERA  IGOR| 2,334|  1.13
LIQUITAY  MARTINEZ  JESSICA ALEJANDRA| 2,289|  1.1
FUENTES  ZUMARAN  FELIPE ALBERTO| 2,182|  1.05
RAVLIC  ELAL  YERKO NAJIB| 2,070|  1.0
ZAMORA  HIDALGO  RICARDO IVAN| 2,056|  0.99
DONOSO  GALLARDO  JUAN ALEJANDRO| 2,041|  0.98
GODOY  ARACENA  GEORGETTE| 2,011|  0.97
VEIRA  FARIAS  ANA ANTONIA| 1,901|  0.92
RUBINA  ARACENA  FREDDY| 1,880|  0.91
LUZ  HIDALGO  OMAR LUIS ANDRES| 1,796|  0.87
HURTADO  ROCO  MAXIMILIANO| 1,792|  0.86
CORDOVA  GONZALEZ  ROBERTO| 1,772|  0.85
VARAS  DAU  EDGAR| 1,753|  0.85
CAMPBELL  CAMPBELL  KYLE| 1,727|  0.83
COFRE  CALDERON  GUILLERMO| 1,715|  0.83
REYES  CUELLO  MANUEL HUGO| 1,690|  0.81
QUEVEDO  CASTILLO  DANIELA CATALINA| 1,690|  0.81
LOPEZ  GALLEGUILLOS  CLAUDIA CECILIA| 1,687|  0.81
CONTRERAS  SAN JUAN  HERNANDO ELIAS| 1,627|  0.78
VEGA  ARAYA  JOSE IGNACIO| 1,588|  0.77
MIRANDA  CATALANO  MARIAPAZ| 1,541|  0.74
