Candidatos|Votos|Porcentaje
2024 Única votación Región DE COQUIMBO
CORRAL  MACIAS  FRANCISCO JAVIER| 18,313|  3.2
CHACANA  ALARCON  VALERIA PATRICIA| 13,539|  2.37
CORTES  VARGAS  DENIS ENRIQUE| 12,813|  2.24
TOLEDO  ESCORZA  LOMBARDO VLADIMIR| 10,969|  1.92
CORTES  VEGA  PAOLA DEL CARMEN| 9,454|  1.65
AMPUERO  GARCIA  XIMENA DEL PILAR| 8,894|  1.56
PINOCHET  ABARCA  GONZALO| 8,852|  1.55
CONCHA  WAGENKNECHT  MARIA CRISTINA| 8,526|  1.49
AUGER  JULIEN  BELEN| 8,251|  1.44
RAMOS  GARCIA  CARLOS| 7,500|  1.31
GUZMAN  GALLEGUILLOS  MATIAS NICOLAS| 7,122|  1.25
VALENCIA  CORTES  PEDRO| 7,106|  1.24
TAPIA  OLIVARES  OSCAR RODRIGO| 6,320|  1.11
VELASQUEZ  HERNANDEZ  OSCIEL| 6,167|  1.08
ALVAREZ  BARRERA  NEVENKA PAULINA| 6,121|  1.07
NUÑEZ  RENCORET  FRANCISCO JAVIER| 5,994|  1.05
ORDENES  PIZARRO  JORGE MAURICIO| 5,913|  1.03
CAMPUSANO  MASSAD  ALEJANDRO| 5,546|  0.97
CORTES  SEGOVIA  TATIANA ALEJANDRA| 5,535|  0.97
CASTILLO  ALQUINTA  SANDRA VIVIANA| 5,480|  0.96
GONZALEZ  AGUILERA  ANGEL| 5,317|  0.93
HERNANDEZ  VALDIVIA  GUSTAVO| 4,923|  0.86
BARRAZA  ASTORGA  JUAN MANUEL| 4,900|  0.86
DELILLE  MUÑOZ  JEAN PAUL| 4,828|  0.84
TORRES  OLIVARES  VIVIANA CAROLINA| 4,707|  0.82
PLETICOSIC  ORELLANA  SPIRO RENEE| 4,545|  0.79
ARDILES  TELLO  WALTER| 4,404|  0.77
HERNANDEZ  SALINAS  CESAR ANTONIO| 4,183|  0.73
CODOCEO  CONTRERAS  JUAN CARLOS| 4,171|  0.73
LEDEZMA  LEDEZMA  ADRIANA| 4,117|  0.72
MARCARIAN  JULIO  MANUEL| 4,101|  0.72
MUÑOZ  MUÑOZ  DAVID RODRIGO| 4,027|  0.7
CHAVEZ  ARAYA  BERNARDO ANTONIO| 3,880|  0.68
HERNANDEZ  ROJAS  ROBINSON| 3,795|  0.66
PERALTA  FARIAS  LEONEL ARNOLDO| 3,746|  0.66
AGUILERA  DIAZ  CHRISTIAN MAURICIO| 3,723|  0.65
ANDIA  RIVEROS  CRISTOBAL BERNARDO| 3,570|  0.62
VALDOVINOS  JOFRE  ALEJANDRA ANDREA| 3,528|  0.62
VALDEBENITO  VALDEBENITO  LUIS ENRIQUE| 3,527|  0.62
ADAROS  GARCIA  NATALIER GUSTAVO| 3,440|  0.6
SEPULVEDA  CARO  PAULINA| 3,338|  0.58
LAFFERTE  CORTES  ROBINSON ANDRES| 3,294|  0.58
ROJAS  ORREGO  MARIA PAZ DEL PILAR| 3,258|  0.57
YAÑEZ  LANZARINI  JAVIERA| 3,250|  0.57
GUERRA  GALLARDO  CATHERINE| 3,170|  0.55
MUSA  URETA  RAUL| 3,146|  0.55
SOLIS  LOBOS  PATRICIO| 3,122|  0.55
ZAMUDIO  GONZALEZ  FRANCO| 3,023|  0.53
CORTES  TAPIA  MAURICIO IGNACIO| 2,897|  0.51
MUÑOZ  VILLALOBOS  MICHAEL ELIAS| 2,883|  0.5
ELGUETA  DELGADO  MARCO ANTONIO| 2,856|  0.5
BARRAZA  AGUILERA  PATRICIO ANDRES| 2,844|  0.5
ZEPEDA  GODOY  FRANKLIN RICARDO| 2,833|  0.5
AGUIRRE  ROJAS  MAX| 2,764|  0.48
VEGA  PIZARRO  PAOLA PATRICIA| 2,749|  0.48
PROHENS  JARA  ARIEL MATIAS| 2,749|  0.48
ARAYA  GUERRA  CARLOS ANTONIO| 2,694|  0.47
CASTILLO  BOILET  MARIA TRINIDAD| 2,692|  0.47
ALFRED  TORRES  FELIPE ESTEBAN| 2,632|  0.46
MUÑOZ  OYARCE  SEBASTIAN CARLOS| 2,591|  0.45
ROJAS  BARRIOS  ANGELA ERCILIA| 2,581|  0.45
NUÑEZ  CUTBILL  JORGE| 2,573|  0.45
CORTES  CONTRERAS  DANIELA FRANCISCA| 2,515|  0.44
MADRID  NUÑEZ  MANUEL ANDRES| 2,506|  0.44
DIAZ  PERALTA  MARCOS RAUL| 2,457|  0.43
ESTEVEZ  NEDER  JOSE PATRICIO| 2,410|  0.42
VILLAGRAN  TAPIA  ALFREDO| 2,392|  0.42
ARAUCO  REYES  PATRICIO ALBERTO| 2,356|  0.41
RAMIREZ  NEYRA  MARIO| 2,335|  0.41
MUÑOZ  ALTAMIRANO  JUAN SERGIO| 2,319|  0.41
VEGA  CERDA  ANALIZ XIMENA| 2,286|  0.4
LOPEZ  VALDES  OSCAR ALBERTO| 2,263|  0.4
OÑATE  CORTES  JONATHAN ANDRES| 2,163|  0.38
NAVEAS  BRAVO  JORGE OMAR| 2,156|  0.38
ALFARO  GONZALEZ  CECILIA DEL CARMEN| 2,128|  0.37
GONZALEZ  IGLESIAS  ALBERTO JAVIER| 2,117|  0.37
VAZQUEZ  COOPMAN  ROCIO| 2,107|  0.37
MANZANO  ALVAREZ  JOSE AMERICO| 2,102|  0.37
AVILEZ  STUARDO  OSCAR GAMANIEL| 2,094|  0.37
ROJAS  GALLARDO  FRANCHESCOLI ANDRES| 2,093|  0.37
ROJAS  ARAYA  CLAUDIO ANDRES| 1,984|  0.35
MUÑOZ  PEREZ  ALONSO ALEJANDRO| 1,898|  0.33
GAHONA  MEDINA  CAMILA SOLANGE| 1,879|  0.33
TAPIA  BARRERA  ALEJANDRO| 1,819|  0.32
HISI  ESPINOZA  JUAN JALET| 1,802|  0.32
PLAZA  GONZALEZ  FRANCHESCA NICOLE| 1,763|  0.31
RIVERA  MILLA  CLAUDIA ANDREA| 1,742|  0.3
JULIO  PAILAHUEQUE  EDUARDO MANUEL| 1,737|  0.3
CONTRERAS  CEA  KARLA| 1,704|  0.3
MARZAL  CUEVAS  CRISTIAN ALEJANDRO| 1,700|  0.3
HURTADO  TORREJON  JORGE BERNARDO| 1,695|  0.3
WESTERMEIER  CUELLAR  TANYA| 1,693|  0.3
MUÑOZ  YAÑEZ  BORIS CLAUDIO| 1,683|  0.29
ALARCON  PINTO  FRANCISCA NAOMI| 1,663|  0.29
BARRAZA  PLAZA  DIOLA| 1,635|  0.29
PIZARRO  VENENCIANO  MARIO| 1,625|  0.28
VELIZ  CORTES  KARINA ARACELLI| 1,614|  0.28
CALLEJAS  LOZANO  JUAN DIEGO| 1,609|  0.28
ALARCON  JERALDO  INGRID LUTECIA| 1,551|  0.27
MAUREIRA  SILVA  CARLOS| 1,536|  0.27
