Candidatos|Votos|Porcentaje
2024 Única votación Región DE VALPARAISO
BUENO  CORTES  ELSA| 20,038|  1.41
VALENZUELA  ROSSI  TANIA ESTEFANIA| 19,632|  1.38
URRUTIA  SOTO  OSVALDO| 19,134|  1.34
VENEGAS  MUÑOZ  JAVIER IGNACIO| 17,432|  1.22
QUIROZ  ORTIZ  EDITH| 17,239|  1.21
FUENTES  DUQUE  CRISTIAN HUMBERTO| 16,030|  1.12
THAUBY  KREBS  CATALINA MARIA| 15,837|  1.11
YAÑEZ  GULA  PAULINA| 15,111|  1.06
SILVA  GONZALEZ  RODOLFO| 15,021|  1.05
LOPEZ  CASTILLO  MAURICIO ALEJANDRO| 14,507|  1.02
ASTORGA  TERRAZA  FERNANDO| 14,277|  1.0
RODRIGUEZ  HERRERA  MARIA VICTORIA| 14,237|  1.0
FARIAS  CABALLERO  ROMY JESUS| 13,329|  0.93
MIRANDA  MUÑOZ  JOSE LUIS| 13,014|  0.91
CORREA  CASTILLO  LAUTARO| 12,433|  0.87
CASTRO  MUÑOZ  JORGE| 11,935|  0.84
VARAS  FUENTES  MARCELA ALICIA| 11,750|  0.82
OLFOS  VARGAS  EMMANUEL| 11,713|  0.82
BYRNE  POPE  JOHN| 11,478|  0.8
FARFAN  VEGA  NICOLAS EDUARDO| 11,448|  0.8
TADRES  RIVERA  ALEXIS| 11,383|  0.8
RUBILAR  MUÑOZ  MARIA ELENA| 11,320|  0.79
MANSILLA  PIZARRO  YURY VALERIA| 10,617|  0.74
ROSSO  MONTENEGRO  PAULA| 9,826|  0.69
MONDACA  MATZNER  CARLOS| 9,692|  0.68
AVENDAÑO  GONZALEZ  FRESIA LUZ| 9,592|  0.67
IBACACHE  IBACACHE  JUAN| 9,590|  0.67
ESCOBAR  ARRIAGADA  GUILLERMO ANDRES| 9,549|  0.67
FLEMING  ARANGUIZ  PRISCILA BESNA| 9,276|  0.65
CORDOBA  ARAYA  FELIPE| 9,257|  0.65
ROMAN  BRANCHY  GERCO LEROY| 9,242|  0.65
FERNANDEZ  QUEZADA  CAROLINA PATRICIA| 9,168|  0.64
VERGARA  LUCERO  FELIPE RODOLFO| 9,123|  0.64
JOFRE  VIDAL  CLAUDIA FERNANDA| 8,937|  0.63
ZAMORANO  ARRATIA  PAOLA| 8,550|  0.6
ROJO  AUGUSTO  TRINIDAD| 8,445|  0.59
FIGUEROA  MONSALVES  VICTORIA| 8,324|  0.58
AHUMADA  ESPINA  GISELLE MAKARENA| 7,927|  0.56
OLGUIN  CASTRO  SCARLETTE| 7,875|  0.55
ALARCON  QUINTEROS  CARLOS JAVIER| 7,798|  0.55
MUNNIER  SOTO  MARIA ESTER| 7,777|  0.55
BAIER  ESTEBAN  RODOLFO| 7,610|  0.53
PINILLA  IBACACHE  CRISTIAN| 7,558|  0.53
MARTINEZ  VICENCIO  MARICEL ALEJANDRA| 7,478|  0.52
CAPELLI  GUERRA  PAOLA ANDREA| 7,466|  0.52
VENEGAS  NEIRA  JOCELYN MARLENE| 7,465|  0.52
FORNO  CAMBON  RENATO| 7,333|  0.51
THORESEN  WILLIAMS  GABRIEL LARS| 7,185|  0.5
ARDILES  SAAVEDRA  ANA ASCENCION| 7,039|  0.49
NAVARRO  ARAYA  EVELYN GISELLI DE LOURDES| 6,960|  0.49
VALENCIA  RODRIGUEZ  ORIETTA DEL CARMEN| 6,820|  0.48
SEPULVEDA  QUEZADA  JUAN ALBERTO| 6,804|  0.48
HUERTA  MARTINEZ  KARLA PAOLA| 6,660|  0.47
FERNANDEZ  PEREIRA  NICOLE ANDREA| 6,606|  0.46
VALDIVIA  ALVAREZ  OMAR GABRIEL| 6,552|  0.46
RAMOS  VALERO  FRANCISCO SEBASTIAN| 6,294|  0.44
LUCERO  MARQUEZ  CHRISTIAN| 6,279|  0.44
ROJAS  ARENAS  VERONICA DEL CARMEN| 6,199|  0.43
VICENCIO  INOSTROZA  SEBASTIAN RODRIGO| 6,114|  0.43
ORTEGA  CANALES  DAVID ISMAEL| 6,087|  0.43
PICHUNANTE  CANSECO  KAREN| 6,019|  0.42
VENTURA  CERISOLA  ADRIANO FRANCISCO| 5,790|  0.41
LEIVA  TOBAR  GIANCARLOS RAMIRO| 5,695|  0.4
OCHOA  MAYEA  SERGIO ISAAC| 5,665|  0.4
FERNANDEZ  MOLINA  DANIELA MACARENA| 5,607|  0.39
