Candidatos|Votos|Porcentaje
2024 Única votación Región DEL MAULE
MUÑOZ  SAAVEDRA  JUAN ANDRES| 20,340|  2.4
FUENTES  CASTRO  ISMAEL| 17,263|  2.04
DEL RIO  JIMENEZ  SILVIO JAVIER| 13,442|  1.59
SEGURA  OVALLE  MIRTHA| 13,375|  1.58
DURAN  RAMIREZ  FRANCISCO| 12,503|  1.48
PARHAM  MUCARQUER  CECILIA| 12,365|  1.46
MONTERO  VIVEROS  GONZALO| 12,110|  1.43
GUAJARDO  OYARCE  PAOLA| 10,834|  1.28
LABRA  BESSERER  PATRICIA| 10,245|  1.21
PAVEZ  LOPEZ  ROMAN| 9,420|  1.11
NAVARRO  ORMEÑO  JUAN| 9,238|  1.09
GARRIDO  CACERES  ALAMIRO| 9,105|  1.08
GUTIERREZ  PAREJA  PABLO EDUARDO| 9,072|  1.07
VALENZUELA  SOTO  JUAN CARLOS| 8,304|  0.98
DOMINGUEZ  IBARRA  PATRICIO| 8,218|  0.97
GARCIA  PARRA  ROBERTO| 8,192|  0.97
GARCIA  CHEVECICH  ROSANNA| 8,098|  0.96
SCHLACK  SILVA  DOMINIQUE| 7,414|  0.88
GARCES  URETA  ISABEL MARGARITA| 7,255|  0.86
AGUILO  MELO  SERGIO PATRICIO| 7,105|  0.84
VILLARREAL  GUAJARDO  IGOR FERNANDO| 6,950|  0.82
HOJAS  DEL VALLE  SEGUNDO ANDRES| 6,912|  0.82
CARTAGENA  BASTIAS  KARINA ANTONIETA| 6,761|  0.8
HARRISON  SANDOVAL  ALEJANDRA| 6,651|  0.79
BAZZI  PEZOA  FLAVIO ESTEBAN| 6,402|  0.76
MOYA  ROMERO  ROCIO MARGARITA| 6,300|  0.74
VERGARA  MEDEL  GABRIELA ANDREA| 6,281|  0.74
AZOCAR  ZUBICUETA  FRANCISCO JAVIER| 6,206|  0.73
ARAYA  VALDES  ALEJANDRO| 6,192|  0.73
DONOSO  OSSES  PAULO RODRIGO| 6,142|  0.73
CANALES  GONZALEZ  JAIME| 5,815|  0.69
YAÑEZ  MENDOZA  MARCIA| 5,785|  0.68
OLIVARES  ORELLANA  PABLO| 5,715|  0.68
RAMIREZ  PASCAL  SEBASTIAN| 5,659|  0.67
ZUÑIGA  MENDOZA  RAPHAEL| 5,376|  0.64
FUENTES  YAÑEZ  GABY| 5,204|  0.61
RUIZ  MUÑOZ  FRANCISCO JOSE| 5,152|  0.61
FLORES  TORRES  DANIEL| 5,139|  0.61
RODRIGUEZ  BRAHM  JUAN SALVADOR| 4,884|  0.58
SEGUEL  VALDES  ALVARO| 4,804|  0.57
ALARCON  KLEINHEMPEL  CAROLINA| 4,791|  0.57
PEREZ  DONOSO  MARIA DEL CARMEN| 4,717|  0.56
VERGARA  MORAGA  PATRICIO| 4,682|  0.55
URRA  MUÑOZ  JUAN PABLO| 4,638|  0.55
MUÑOZ  MEJIAS  MATIAS ALONSO| 4,611|  0.54
HENRIQUEZ  RAMIREZ  CARLOS ALBERTO| 4,537|  0.54
ALVARADO  MORALES  PEDRO| 4,474|  0.53
JORQUERA  CACERES  MARIA ISABEL| 4,471|  0.53
RIVERA  PINO  ROBERTO| 4,389|  0.52
LINEROS  GONZALEZ  PATRICIO ANDRES| 4,375|  0.52
LIZAMA  SOTO  RICARDO ANTONIO| 4,309|  0.51
GAJARDO  YAÑEZ  CARLOS ANDRES| 4,256|  0.5
AMESTICA  GAETE  MANUEL| 4,238|  0.5
FAJARDO  HENRIQUEZ  VALESKA DAHIANA| 4,232|  0.5
