Candidatos|Votos|Porcentaje
2024 Única votación Región DE ÑUBLE
SAVATTINI  NUÑEZ  EDUARDO| 9,011|  2.26
JARDUA  CAMPOS  LORENA| 8,827|  2.22
ACUÑA  OLIVERA  MARIA ELENA| 8,663|  2.17
JIMENEZ  VENEGAS  ARNOLDO MANUEL| 7,538|  1.89
URRA  ZAMBRANO  MARIO ALEXIS| 7,428|  1.86
GUZMAN  YEVENES  DANIELA| 6,187|  1.55
CHANDIA  BRAVO  CARLOS| 5,983|  1.5
DINAMARCA  MUÑOZ  RODRIGO SEBASTIAN| 5,833|  1.46
RUIZ  AEDO  SERGIO| 5,612|  1.41
STUARDO  MALVERDE  ITER ALEJANDRO| 5,544|  1.39
POZO  MONAR  LAURA| 5,532|  1.39
SANDOVAL  GARRIDO  ALDO GUSTAVO| 4,959|  1.24
HENNIG  GODOY  BARBARA| 4,936|  1.24
GONZALEZ  GONZALEZ  PABLO ALEJANDRO| 4,842|  1.22
ENRIQUEZ  FUENTES  JUAN LUIS| 4,764|  1.2
FERRADA  CANTO  YENIFFER| 4,751|  1.19
CIFUENTES  CIFUENTES  MARCELO| 4,588|  1.15
CRISOSTOMO  LAZO  MARGARITA| 4,371|  1.1
VERA  LILLO  PATRICIA ISIDORA| 4,295|  1.08
PONCE  HERNANDEZ  WILSON MARCELO| 4,252|  1.07
VERA  ARRIAGADA  LORENA ANDREA| 4,249|  1.07
ACEVEDO  CIFUENTES  CARLOS| 4,187|  1.05
CASANOVA  GONZALEZ  CHRISTOPHER| 4,144|  1.04
ABURTO  CERNA  GUILLERMO GINNO| 3,926|  0.99
MUÑOZ  BAQUEDANO  BEATRIZ IGNACIA| 3,899|  0.98
JIMENEZ  ACUÑA  PABLO| 3,896|  0.98
SILVA  ESPINOZA  JOSE ANTONIO| 3,775|  0.95
RIQUELME  VENEGAS  JUAN EDUARDO| 3,761|  0.94
GUERRA  CISTERNA  ROSENDO| 3,624|  0.91
OYARCE  SEPULVEDA  MAGDALENA| 3,615|  0.91
RAMIREZ  NOVA  JUAN SALVADOR| 3,593|  0.9
