Candidatos|Votos|Porcentaje
2024 Única votación Región DEL BIOBIO
PEÑA  HENRIQUEZ  LEONIDAS| 16,657|  1.4
LAPOSTOL  VARGAS  CLAUDIO ENRIQUE| 16,020|  1.34
KRAUSE  LOBOS  ENRIQUE| 15,758|  1.32
FICA  ESPINOZA  IGNACIO| 15,633|  1.31
RIVERA  ARANCIBIA  MARCELO ENRIQUE| 15,159|  1.27
SANTIBAÑEZ  BASTIDAS  LUIS ALBERTO| 14,840|  1.24
CONTRERAS  ALVAREZ  YANINA| 12,727|  1.07
NUÑEZ  RAMIREZ  MARIA ELENA| 12,190|  1.02
OSORIO  RIOSECO  GONZALO| 11,648|  0.98
PEÑA  RODRIGUEZ  ANSELMO| 11,260|  0.94
GIACOMOZZI  FERNANDEZ  JUDITH ALEJANDRA| 10,492|  0.88
MONDACA  DAZA  AMERICO| 10,259|  0.86
GONZALEZ  ZARATE  MARCELA ANDREA| 9,916|  0.83
BETANCURT  DELGADO  LILIAN ALEJANDRA| 9,783|  0.82
MEDINA  CEA  CRISTIAN| 9,597|  0.8
VENEGAS  GUERRA  PEDRO ALEYDE| 9,209|  0.77
VILLANUEVA  CABAS  JUAN CARLOS ANDRES| 9,133|  0.77
CONCHA  CABRERA  TAMARA ANGELICA| 8,987|  0.75
CORDOVA  BUSTOS  ROBERTS| 8,928|  0.75
SANDOVAL  LARA  LARRY| 8,777|  0.74
REYES  AGUAYO  FRANCISCO JAVIER| 8,710|  0.73
GENGNAGEL  CARRASCO  CHRISTOPHER| 8,143|  0.68
KUHN  ARTIGUES  PATRICIO| 8,063|  0.68
SEGUEL  MONSALVE  PEDRO| 7,677|  0.64
CHAMORRO  BARRIENTOS  LUIS ANDRES| 7,556|  0.63
MEDINA  MARTINEZ  JUAN CARLOS| 7,271|  0.61
GALLEGOS  PULIDO  ITALO| 7,243|  0.61
BASTIAS  URRUTIA  ALAN RUBEN| 6,834|  0.57
GENGNAGEL  NAVARRO  CRISTIAN| 6,767|  0.57
ARRIAGADA  GONZALEZ  CAMILA| 6,673|  0.56
ORDENES  GATICA  CARLOS FRANCISCO| 6,585|  0.55
TORRES  HERMOSILLA  GABRIEL| 6,549|  0.55
BEQUER  MENA  NATALIA ANDREA| 6,477|  0.54
SANDOVAL  JARA  EDGARD| 6,166|  0.52
JARAMILLO  RIQUELME  YASNA LORENA| 6,158|  0.52
PEÑAILILLO  GARRIDO  JAIME| 5,673|  0.48
