Candidatos|Votos|Porcentaje
2024 Única votación Región DE LOS RIOS
HOTT  SOLIS  CATALINA| 10,751|  3.51
VALENZUELA  IRIGOYEN  SERGIO IVAN| 9,790|  3.2
MARTINEZ  CARVALLO  ITALO| 8,753|  2.86
MUÑOZ  MORALES  ARIEL| 7,991|  2.61
LOPEZ  PALMA  FELIPE ARMANDO| 6,436|  2.1
FARIAS  SILVA  JUAN CARLOS| 6,421|  2.1
KUNSTMANN  BARBA  BEATRIZ| 5,826|  1.9
JARAMILLO  ARISMENDI  SARITA EVELYNE| 5,598|  1.83
MATTAR  HAZBUN  CAMILA JOSEFA DARIM| 5,266|  1.72
RODRIGUEZ  VILLA  YASNA DANIKSA| 4,938|  1.61
PEÑA  RIQUELME  ROLANDO HERNAN| 4,847|  1.58
GOMEZ  PEREZ  SEBASTIAN ANDRES| 4,724|  1.54
TALADRIZ  EGUILUZ  JUAN MANUEL| 4,706|  1.54
PACHECO  AYALA  ERWIN CONRADO| 4,699|  1.54
SCHMEISSER  MUÑOZ  MARIO| 4,553|  1.49
GALINDO  VIVANCO  CARLOS FELIPE| 4,317|  1.41
BAHAMONDEZ  MILLAR  MARISOL| 4,179|  1.37
CUESTA  VALLEJOS  SOLEDAD| 3,946|  1.29
DUHALDE  SALINAS  CARLOS| 3,925|  1.28
PACHECO  RIVERA  HECTOR MANUEL| 3,923|  1.28
CUMIAN  PORTALES  MARIO ANDRES| 3,879|  1.27
RIVERA  ALVAREZ  FELIPE| 3,688|  1.21
CORTEZ  MUÑOZ  MARCOS RUBEN| 3,510|  1.15
FUENTES  PAREDES  PATRICIO ALEJANDRO| 3,492|  1.14
TRONCOSO  VALLEJOS  LUIS EDUARDO| 3,420|  1.12
CONTRERAS  ALVAREZ  ANE LOBETH| 3,404|  1.11
FLORES  VERA  DIEGO| 3,360|  1.1
SILVA  FERNANDEZ  KARINA| 3,205|  1.05
RAMIREZ  BARRERA  HECTOR ALEJANDRO| 3,196|  1.04
MITRE  FLORES  GUILLERMO| 3,127|  1.02
BARRIA  ALVAREZ  CLAUDIO| 2,983|  0.97
ALBORNOZ  ASENJO  SERGIO| 2,900|  0.95
CIFUENTES  BARRIENTOS  EMMA PATRICIA| 2,868|  0.94
RAMIREZ  MATUS  JUAN MARCELO| 2,781|  0.91
MONTECINOS  AROS  MARIO RICHARD| 2,741|  0.9
OCHOA  HINRICHSEN  VALERIA AMANDA| 2,665|  0.87
QUILEMPAN  COLIHUINCA  YENIFER ADRIANA| 2,499|  0.82
HERNANDEZ  VALDERRAMA  PAULINA TAMARA| 2,350|  0.77
LARA  ROLOFF  FRANCISCO JAVIER| 2,342|  0.77
DELGADO  SOLIS  VICTOR| 2,327|  0.76
SILVA  GUERRERO  NANCY HERMINDA| 2,310|  0.75
CORREA  VERA  JULIO EDUARDO| 2,307|  0.75
TRUJILLO  ESPINOZA  LILITH VICTORIA ATENEA| 2,283|  0.75
IDE  MAYORGA  MARCO ANTONIO| 2,159|  0.71
AVILA  MANCILLA  JULIO ISMAEL| 2,135|  0.7
RIVERA  CARRASCO  TERESA GRACIELA| 1,752|  0.57
VERA  CALFUEQUE  VICTOR MANUEL| 1,721|  0.56
RODRIGUEZ  RODRIGUEZ  CARLOS| 1,659|  0.54
URTUBIA  REZZIO  NORA BERTA| 1,588|  0.52
VARAS  HERRERA  RICARDO ARIEL| 1,510|  0.49
LIZAMA  MUÑOZ  JUAN MANUEL| 1,482|  0.48
HENRIQUEZ  MUÑOZ  FRANCISCO ISIDORO| 1,476|  0.48
PINO  ILABEL  LILIAN DEL CARMEN| 1,467|  0.48
PACHECO  SAEZ  PEDRO ROBERTO| 1,354|  0.44
HUENUN  HUEITRA  ELMO RODOLFO| 1,349|  0.44
VON MUHLENBROCK  SCHLATTER  SVEN| 1,338|  0.44
DAVILA  HERNANDEZ  SEBASTIAN EDUARDO| 1,294|  0.42
MORENO  PANGUI  MARIBEL DEL PILAR| 1,265|  0.41
HUANQUIL  HUANQUIL  JUAN GABRIEL| 1,246|  0.41
OBANDO  SOTO  PAULA CAROLINA| 1,245|  0.41
LARA  MARTINEZ  GERARDO EFRAIN| 1,221|  0.4
AGUILAR  AGUILAR  LUIS EDUARDO| 1,204|  0.39
SILVA  QUEZADA  YOHANA| 1,189|  0.39
CASTILLO  BECERRA  XIMENA SOLEDAD| 1,174|  0.38
MANQUE  MOSQUEIRA  VIVIANA| 1,113|  0.36
CARRASCO  BELTRAN  CAROLINA SUSANA| 1,058|  0.35
VASQUEZ  HUIRIMAN  EDUARDO ALBERTO| 1,006|  0.33
MARINKOVIC  VASQUEZ  CATHERINNE PAMELA| 1,001|  0.33
DELGADO  REYES  CINDY CATHERINE| 996|  0.33
GUTIERREZ  SILVA  GONZALO ERNESTO| 981|  0.32
DIAZ  ULLOA  FREDY LEONEL| 945|  0.31
BARRIGA  QUEZADA  ANDRES FERNANDO| 944|  0.31
SABALA  RISCO  ALEJANDRO| 941|  0.31
LEON  HUILIPAN  LORENA| 925|  0.3
TEJEDA  MUÑOZ  JACINTO SEGUNDO| 872|  0.28
GARRIDO  RUIZ  GENESIS BETZABETH| 726|  0.24
CUADRA  AGUILAR  CRISTIAN FERNANDO| 702|  0.23
SERON  TAPIA  JORGE ADOLFO| 689|  0.23
HIDALGO  BRUNO  VICTOR HUGO| 656|  0.21
VASQUEZ  HERRERA  CAMILO ANDRES| 646|  0.21
ULLOA  HEINSOHN  CARLOS| 616|  0.2
FABRES  ULLOA  CAROLINA VALESKA| 580|  0.19
VASQUEZ  BREVIS  MARTA ELISA| 486|  0.16
DURAN  EGLE  CRISTIAN RAUL| 429|  0.14
VARGAS  MARTINEZ  MARCELO| 406|  0.13
DURAN  ARAYA  SERGIO ALEJANDRO| 365|  0.12
Válidamente Emitidos| 231,137| 75.54
 Votos Nulos| 39,403| 12.88
 Votos Blanco| 35,444| 11.58
 Total| 305,984| 100.0
 
