Candidatos|Votos|Porcentaje
2024 Única votación Región DE LOS LAGOS
HERNANDEZ  SOTO  LUIS ALBERTO| 13,247|  2.02
NEGRON  BARRIA  CESAR| 12,961|  1.97
AGUILA  SERPA  NELSON HUGO| 11,717|  1.78
CARCAMO  HERNANDEZ  FRANCISCO| 11,564|  1.76
GOMEZ  MARQUEZ  TITO| 11,050|  1.68
VASQUEZ  VIDAL  YASNA NICOLE| 11,037|  1.68
HOLLSTEIN  TURK  JUAN RICARDO| 10,959|  1.67
CASANOVA  CARDENAS  ALEXIS| 10,882|  1.66
ARISMENDI  VALENZUELA  RODRIGO| 10,641|  1.62
REYES  CASTRO  FRANCISCO| 10,428|  1.59
EGUILUZ  LOYOLA  AUGUSTO MATIAS| 9,643|  1.47
SCHWALM  URZUA  CARLOS| 9,323|  1.42
GALLARDO  PACHECO  FREDDY| 8,912|  1.36
BARRIA  ANGULO  BERNARDO RENE| 8,317|  1.27
BECERRA  VARGAS  LUIS| 7,599|  1.16
RITTER  FERNANDEZ  ALEX ANTONIO| 7,512|  1.14
VARAS  LONCUANTE  MARIBEL| 7,468|  1.14
DIAZ  GONZALEZ  RODRIGO ANDRES| 7,368|  1.12
FERNANDEZ  LONCON  MARION SUSANA| 7,206|  1.1
DELGADO  BARRIA  NELSON| 6,946|  1.06
ITURRIAGA  HEWSTONE  ANDREA| 6,772|  1.03
CABELLO  STOM  JAVIER| 6,515|  0.99
VARGAS  VIDAL  MARIO| 6,381|  0.97
MATURANA  MENESES  PAMELA ANDREA| 5,359|  0.82
NAVARRO  BUSTAMANTE  MONICA| 5,357|  0.82
SANTANA  MARQUEZ  MARIA JEANNETTE| 5,250|  0.8
OSSES  MOYANO  ALEXIS SALVADOR| 5,179|  0.79
FIGUEROA  LEVIGUAN  JAIME IGNACIO| 5,055|  0.77
MEEDER  THIERS  ALEX| 4,901|  0.75
HERNANDEZ  KRAUSE  OSVALDO IVAN| 4,874|  0.74
ABURTO  MANCILLA  PEDRO OSVALDO| 4,811|  0.73
PARADA  SILVA  EDUARDO ANDRES| 4,685|  0.71
GALLARDO  BREUEL  PATRICIA DEL CARMEN| 4,650|  0.71
TOLEDO  MORA  LUIS AMERICO| 4,576|  0.7
BERMUDEZ  OYARZO  TANIA MARIBEL| 4,534|  0.69
CURUMILLA  GALLARDO  JOSE DANIEL| 4,434|  0.68
VALENZUELA  MUÑOZ  JORDI| 4,425|  0.67
GUEVARA  STEPHENS  JORGE| 4,339|  0.66
FUENTEALBA  DELGADO  DANIELA| 4,300|  0.66
KEIM  GUTIERREZ  JORGE BRUNO| 4,202|  0.64
ASTUDILLO  GONZALEZ  VERONICA PAOLA| 4,014|  0.61
JORDAN  LAPOSTOL  CAMILA ANDREA| 3,795|  0.58
SANZANA  CARDENAS  JULIO| 3,580|  0.55
ALVAREZ  VILLALOBOS  KARLA ANDREA| 3,573|  0.54
PAREDES  MORAGA  FRANCISCO JAVIER| 3,565|  0.54
CARRILLO  AGUILAR  LORENA ANGELICA| 3,480|  0.53
DROPPELMANN  ROSAS  JESSICA BEATRIZ| 3,456|  0.53
NOVOA  ROJAS  LUIS ALEJANDRO| 3,408|  0.52
ESCHMANN  POBLETE  MARTA| 3,237|  0.49
FAUNDEZ  QUINTULLANCA  CLAUDIO| 3,150|  0.48
MARCOS  RUIZ  FRANCISCO JAVIER| 3,139|  0.48
PEÑA  SCHENCKE  MARCIA PAMELA| 3,108|  0.47
MEDINA  TOLEDO  MARIO ADRIAN| 3,037|  0.46
ABURTO  ANCAPAN  JOSE EULOGIO| 3,023|  0.46
CARCAMO  GOMEZ  JULIO| 3,007|  0.46
FIGUEROA  OLAVE  CAROLINA SILVANA| 3,004|  0.46
OJEDA  OJEDA  ROSA MARLENE| 2,868|  0.44
GONZALEZ  CARO  ANA| 2,824|  0.43
RIOS  ESCOBAR  DANTE VLADIMIR| 2,743|  0.42
ALARCON  MAUREIRA  RAMON ISIDORO| 2,713|  0.41
MENDEZ  CARDENAS  DANIELA| 2,680|  0.41
CID  JARA  CLAUDIO ANTONIO| 2,657|  0.4
CASANOVA  RAMOS  TAMARA| 2,655|  0.4
HERNANDEZ  BARRIA  MIRNA ORABIA| 2,611|  0.4
GARCES  BARRERA  VERONICA| 2,566|  0.39
VARAS  ROJAS  FRANCISCA MARIANELA| 2,561|  0.39
MANCILLA  VELASQUEZ  PATRICIO RENE| 2,559|  0.39
CARDENAS  ILLAPAN  CAROLINA CELESTE| 2,540|  0.39
RIFFO  FICA  GIOVANNI| 2,509|  0.38
VERA  ARANCIBIA  ANA| 2,451|  0.37
PARIS  UNQUEN  LUIS ALFREDO| 2,347|  0.36
VIDAL  VILCHES  CRISTOBAL GABRIEL| 2,318|  0.35
HERNANDEZ  CARDENAS  CARLOS| 2,292|  0.35
OJEDA  OJEDA  ROSA| 2,279|  0.35
SAEZ  RUIZ  VIVIANA ARIETH| 2,217|  0.34
MANZANARES  GARRIDO  GERARDO| 2,113|  0.32
VARGAS  BRAVO  JULIO| 2,105|  0.32
GUNCKEL  BORQUEZ  FERNANDO| 2,100|  0.32
CHACON  GARCIA  ARACELLY FERNANDA| 2,081|  0.32
FONTBONA  TORRES  JAIME ROBERTO| 1,999|  0.3
PEREZ  GONZALEZ  GABRIEL ORLANDO| 1,984|  0.3
GUZMAN  AHENGO  ALEX| 1,937|  0.3
VARGAS  COTIART  FELIX| 1,913|  0.29
PEREZ  RAMIREZ  ENRIQUE ANTONIO| 1,885|  0.29
SAAVEDRA  GOMEZ  CATALINA BERNARDITA| 1,882|  0.29
KUNZ  AICHELE  CLAUDIO| 1,862|  0.28
CRUCES  OJEDA  RICHARD JESUS| 1,813|  0.28
UNICAHUIN  QUINAN  CLAUDIA| 1,808|  0.28
VERGARA  TRINCADO  MANUEL RODRIGO| 1,785|  0.27
ROSAS  JARPA  ALICIA ISABEL| 1,715|  0.26
PERANCHIGUAY  NEUM  PEDRO ENRIQUE| 1,679|  0.26
CARDENAS  INOSTROZA  ENRIQUE ERNESTO| 1,594|  0.24
TEJEDA  GOMEZ  CESAR ANTONIO| 1,589|  0.24
FRIAS  QUINTUL  CRISTIAN PATRICIO| 1,460|  0.22
AGUILERA  ESPARZA  OSCAR ANDRES| 1,416|  0.22
MORAGA  SANCHEZ  CAROLINA NINOSKA| 1,388|  0.21
