Candidatos|Votos|Porcentaje
2024 Única votación Región DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
MUÑOZ  SIERRA  OMAR| 2,604|  3.61
GILLIBRAND  MARIN  MARCO| 2,558|  3.55
MARTINIELLO  AVILA  ROCCO ANTONIO| 2,321|  3.22
MANSILLA  BORQUEZ  CARLOS ANDRES| 2,018|  2.8
KLEIN  VIDAL  FELIPE IGNACIO| 2,006|  2.78
GUGLIELMI  ASENJO  PABLO| 1,853|  2.57
ACUÑA  OJEDA  PAULA ANTONIA| 1,790|  2.48
MONTECINOS  ARAYA  ELIGIO| 1,753|  2.43
NOVOA  PEREZ  XIMENA| 1,578|  2.19
PONCE  OLIVARES  ANDREA| 1,542|  2.14
MARTINEZ  SANCHEZ  MARISOL DEL CARMEN| 1,511|  2.1
VILLARROEL  PINILLA  GUSTAVO| 1,239|  1.72
HERNANDEZ  SANCHEZ  PAULINA| 1,237|  1.72
INFANTE  RODRIGUEZ-PEÑA  BENJAMIN| 1,150|  1.59
SANCHEZ  ROSAS  ERICA ERCILIA| 1,133|  1.57
GONZALEZ  BORQUEZ  ROSA LORENA| 1,076|  1.49
MEDINA  MARTINEZ  WASHINGTON ALEJANDRO| 1,071|  1.49
COÑUECAR  VILLEGAS  MARCO ANDRES| 1,065|  1.48
SAN CRISTOBAL  BRAHM  FERNANDO| 1,019|  1.41
ROSSEL  GONZALEZ  JULIO ESTEBAN| 989|  1.37
MACHUCA  TORRES  JOSE ERNESTO| 971|  1.35
CRISTI  SAAVEDRA  RAIMUNDO| 927|  1.29
RODRIGUEZ  CUEVAS  PAOLA| 911|  1.26
CURINAO  REBOLLEDO  MANUEL SEGUNDO| 887|  1.23
OSORIO  MONCADA  RAUL EDUARDO| 884|  1.23
GUERRERO  COCIO  LUIS| 802|  1.11
VILLEGAS  ALMONACID  MARIA LORETA| 753|  1.04
RIVERA  TEJEDA  RODRIGO| 749|  1.04
CEA  ESPAÑA  YORDY| 740|  1.03
SOTO  SERON  ARCADIO| 734|  1.02
ORTUZAR  CANDIA  BARBARA| 726|  1.01
VERA  WANDERSLEBEN  EDUARDO| 704|  0.98
MUÑOZ  VARGAS  NELIDA ANDREA| 672|  0.93
SERVA  OVALLE  JUAN| 667|  0.92
INOSTROZA  PARRA  LILIAN| 630|  0.87
VIDAL  CAYUN  ANDRES ALBERTO| 607|  0.84
CUEVAS  TORRES  FRANCISCO JAVIER| 562|  0.78
VEGA  PIZARRO  SEBASTIAN AGUSTO| 558|  0.77
GACITUA  CIFUENTES  ARMANDO PATRICIO| 550|  0.76
ESCOBAR  MARDONES  VICTOR| 538|  0.75
QUINTUL  CEA  CARLOS| 517|  0.72
MORA  ARANEDA  ANA MARIA| 513|  0.71
DURAN  BOCAZ  HAYLEY JULIE| 508|  0.7
BELLO  ABURTO  ANITA| 493|  0.68
MANSILLA  MANSILLA  MIGUEL EDUARDO| 467|  0.65
ELGUETA  BAHAMONDE  RODOLFO LEONARDO| 455|  0.63
CADIN  PERALTA  YARELA MARINA| 455|  0.63
SOTO  COLI  MARIA FERNANDA| 448|  0.62
MANSILLA  COBI  ROSITA ANGELICA| 436|  0.6
SOZA  HERNANDEZ  LORENA ELISA| 385|  0.53
LOPEZ  QUINTANA  JAIME| 382|  0.53
SEGUEL-ROJAS  MANQUEZ  ROMANET| 373|  0.52
MIRANDA  MONSALVE  FERNANDO ANDRES| 362|  0.5
PEREZ  ARRIAZA  JORGE PATRICIO| 360|  0.5
GONZALEZ  GARCES  GISELA HAYDEE| 358|  0.5
SEPULVEDA  HAUGEN  JORGE| 356|  0.49
COLIBORO  PANICHINE  PABLO ENRIQUE| 342|  0.47
FIGUEROA  ROJAS  REYNALDO| 342|  0.47
PARDO  VALLEJOS  HUGO| 325|  0.45
GARNICA  SAEZ  ADRIAN| 320|  0.44
ALVAREZ  LEMUS  MATIAS ALEJANDRO| 301|  0.42
IDUARTE  COFRE  MANUEL ALEJANDRO| 300|  0.42
FICA  BELLO  CRISTIAN| 296|  0.41
CAMPOS  SAIGG  CARLOS| 290|  0.4
VALENZUELA  SALDIVIA  ANGELICA VICTORIA| 273|  0.38
EVA  TAPIA  PATRICIO| 226|  0.31
CAPPONI  TORRES  DAMNETTE VALESKA| 220|  0.31
VILLOUTA  VASQUEZ  ARIEL| 210|  0.29
MARDONES  TORRES  XIMENA| 203|  0.28
MORA  CUEVAS  YARIC FERNANDO| 183|  0.25
GALLARDO  GUEIQUEN  EDUARDO| 167|  0.23
GONZALEZ  BANDA  JOSE FRANCISCO| 162|  0.22
ENCINA  TAPIA  MANUEL JESUS| 148|  0.21
QUINAN  GUEICHA  CLAUDIO GUSTAVO| 134|  0.19
SAEZ  VEGA  HECTOR JAVIER| 103|  0.14
ARCOS  PINILLA  INGRID TAMARA DAPHNER| 84|  0.12
Válidamente Emitidos| 57,582| 79.85
 Votos Nulos| 7,452| 10.33
 Votos Blanco| 7,077| 9.81
 Total| 72,111| 100.0
 
