Candidatos|Votos|Porcentaje
2024 Única votación Región DE MAGALLANES Y DE LA ANTARTICA CHILENA
GALLARDO  CONCHA  ROXANA| 4,611|  3.86
ARECHETA  BALETA  RODOLFO ESTEBAN| 4,045|  3.38
BRADASIC  SILLARD  ANTONIO| 3,501|  2.93
WEISSOHN  HECK  ROBERT KURT| 3,327|  2.78
MORANO  CORNEJO  JUAN ENRIQUE| 2,816|  2.36
DIAZ  VALDERRAMA  ARTURO ARMANDO| 2,623|  2.19
AMARALES  OSORIO  PATRICIA| 2,543|  2.13
STOWHAS  ALVARADO  ALLAN MANUEL| 2,488|  2.08
ROMAN  AMARALES  JAVIERA| 2,117|  1.77
GAMIN  BUSTAMANTE  PATRICIO| 2,054|  1.72
HARAMBOUR  PALMA  SALVADOR| 1,783|  1.49
BECERRA  DIAZ  SERGIO| 1,738|  1.45
AGUERO  GARRIDO  ALFREDO HUMBERTO| 1,670|  1.4
OYARZO  OJEDA  SEBASTIAN ORLANDO| 1,528|  1.28
ALARCON  NAVARRO  FRANCISCO| 1,467|  1.23
OYARZO  GALVEZ  JUAN LUIS| 1,441|  1.21
MONTAÑA  VELASQUEZ  XIMENA ELSA| 1,421|  1.19
LOPEZ  ESPAÑA  ANDRES NESTOR FRANCISCO| 1,417|  1.19
BORQUEZ  AGUILA  TERESA| 1,379|  1.15
MOLKEMBUHR  SAPUNAR  CLAUDIA| 1,338|  1.12
CARDENAS  ALVARADO  RODOLFO MARCELO| 1,324|  1.11
SALAS  ILLANES  MAX| 1,312|  1.1
SOTO  MUÑOZ  NANO| 1,281|  1.07
ROUX  VIDAL  JACQUES MICHEL| 1,217|  1.02
UTZ  CONTRERAS  RODRIGO| 1,189|  0.99
GOMEZ  ALBA  BALDOVINO| 1,183|  0.99
BALICH  ROJEL  JORGE| 1,131|  0.95
CATRIN  BARRIENTOS  CRISTHIAN ALEXIS| 1,081|  0.9
FERREIRA  PAREDES  JOSSELIN NICOL| 1,080|  0.9
ROA  ALEGRIA  ANGEL| 1,054|  0.88
DUBROCK  MARTINEZ  ORLOV ANDRES ADOLFO| 1,022|  0.86
ALMONACID  VARGAS  JOSE| 987|  0.83
ARAVENA  GUTIERREZ  EVELYN KARINA| 952|  0.8
HERNANDEZ  OYARZO  CLAUDIA| 951|  0.8
DIAZ  BAHAMONDE  JUAN MAGALLANES| 928|  0.78
GUZMAN  GARCIA  LUZ HELENA| 919|  0.77
COSSIO  BAOS  PAMELA ALEJANDRA| 907|  0.76
LOW  OYARZUN  VICTOR ARNOLDO| 872|  0.73
COSME  ORMEÑO  JAIME| 816|  0.68
OLAVARRIA  ALVARADO  JOHANA ALEJANDRA| 800|  0.67
PRIETO  QUEZADA  MIGUEL ANGEL| 797|  0.67
ALVAREZ  SANCHEZ  SEGUNDO| 797|  0.67
CREMASCHI  OJEDA  MARCELO ENRIQUE| 782|  0.65
ZAMBRA  DONOSO  CHRISTIAN ANTONIO| 759|  0.63
ROSENFELD  SEKULOVIC  GONZALO| 683|  0.57
CARROZA  LLANCALAHUEN  ALEJANDRA DEL PILAR| 673|  0.56
HARO  MENESES  FERNANDO| 656|  0.55
MANDRIAZA  MUÑOZ  CARLOS ENRIQUE| 649|  0.54
GINOUVES  ALFARO  EMILIO| 648|  0.54
DIAZ  FERNANDEZ  JULIO CESAR| 629|  0.53
