region,circunscripcion_provincial,nombre,partido,votos
REGIÓN DE ARICA Y PARINACOTA,ARICA,CARLOS JORGE OJEDA MURILLO,PH,1302
REGIÓN DE ARICA Y PARINACOTA,ARICA,MARIA JOSE VICTORIANO CAUTIVO,PCCH,1575
REGIÓN DE ARICA Y PARINACOTA,ARICA,CRISTIAN GODOFREDO VILLANUEVA ROSALES,IND,2116
REGIÓN DE ARICA Y PARINACOTA,ARICA,SOFIA CLAVIJO MEDALLA,RN,2047
REGIÓN DE ARICA Y PARINACOTA,ARICA,OSCAR PANTOJA RIVERA,PL,1880
REGIÓN DE ARICA Y PARINACOTA,ARICA,DENISSE ANDREA MORALES FLORES,IND,2294
REGIÓN DE ARICA Y PARINACOTA,ARICA,MARCELO EMMANUEL GONZALEZ OLIVARES,PDC,1931
REGIÓN DE ARICA Y PARINACOTA,ARICA,NINO SEGUNDO ESTAY ESPINOZA,DEMOCRATAS,964
REGIÓN DE ARICA Y PARINACOTA,ARICA,IGNACIO ALFREDO GOMEZ GUTIERREZ,REPUBLICANO,4242
REGIÓN DE ARICA Y PARINACOTA,ARICA,ROMINA CECILIA CIFUENTES GONZALEZ,REPUBLICANO,4472
REGIÓN DE ARICA Y PARINACOTA,ARICA,LIN-KIU ODILA LY FUMEY,REPUBLICANO,2594
REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,LORENA VENTURA VASQUEZ,RN,458
REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,DANIEL ALEXIS LINARES ZEGARRA,IND,418
REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,HERMES GOMEZ GALLARDO,IND,408
REGIÓN DE TARAPACÁ,IQUIQUE,OCTAVIO LOPEZ AVALOS,AH,2160
REGIÓN DE TARAPACÁ,IQUIQUE,GIOVANNA TRINCADO AVILES,RN,4707
REGIÓN DE TARAPACÁ,IQUIQUE,NESTOR JOFRE NUÑEZ,RN,3984
