Candidatos|Votos|Porcentaje
2024 Única votación Región DE ANTOFAGASTA
MENESES  GONZALEZ  YASNA CELIA| 11,425|  2.84
MAVRAKIS  ASSAD  EMILIO NIKITAS| 10,400|  2.59
GUZMAN  ROJAS  VICTOR EDUARDO| 9,295|  2.31
BERNA  MARTINEZ  SANDRA| 8,208|  2.04
CELIS  SIERRALTA  PAULA| 6,827|  1.7
SANTOLAYA  GOICOVIC  GONZALO| 6,702|  1.67
MERINO  DIAZ  ANDREA| 6,460|  1.61
CIFUENTES  MANCILLA  ALEJANDRO RODRIGO| 6,051|  1.51
LOPEZ  DURAN  DINKA SOLANGE| 5,717|  1.42
RAMOS  BUSTOS  LUIS| 4,110|  1.02
FERNANDEZ  MACCHIAVELLO  VALENTINA PAZ| 3,932|  0.98
ORELLANA  URIBE  PAULA VALERIA| 3,882|  0.97
DIAZ  VASQUEZ  WILSON| 3,714|  0.92
ARIAS  MONTENEGRO  EDGARDO RONNY| 3,596|  0.9
VERGARA  PICON  LILA ELENA| 3,450|  0.86
DAMKE  CONTRERAS  MARIELA ALEJANDRA| 3,430|  0.85
MALDONADO  LAVADO  PATRICIO MANUEL| 3,383|  0.84
GARRIDO  AMPUERO  LUIS| 3,379|  0.84
HIDALGO  JIMENEZ  SEBASTIAN| 3,197|  0.8
SANTIS  CONTRERAS  JUAN ALBERTO| 3,171|  0.79
FLORES  ROJAS  DUZANKA| 3,155|  0.79
PEREZ  VEGA  KARLA ANDREA| 3,047|  0.76
ROCHA  MUÑOZ  MARCELO| 3,043|  0.76
TILLERIA  VELASQUEZ  DAGOBERTO| 3,018|  0.75
LAWRENCE  SANTIBAÑEZ  JORGE| 2,952|  0.73
PIZARRO  AGURTO  FERNANDO AURELIO| 2,832|  0.71
CORTES  CRUZ  MARIO ORLANDO| 2,832|  0.71
BERNA  MENDOZA  JORGE EDUARDO| 2,802|  0.7
CONTRERAS  REINOSO  ALVARO IVAN PATRICIO| 2,688|  0.67
MONTECINOS  DONOSO  GINO| 2,639|  0.66
PEREZ  ARMIJO  ROBERTO JULIO| 2,624|  0.65
KONG  CORTES  ALEX HERNAN| 2,514|  0.63
ROJAS  BERRIOS  IVO OSMAN| 2,505|  0.62
PAYERO  CRUZ  LUIS| 2,465|  0.61
TAPIA  JULIO  PATRICIO| 2,416|  0.6
ANTILEO  PINO  PAOLA| 2,408|  0.6
LAMBERT  CAVIERES  DAVID| 2,401|  0.6
MORENO  MORENO  GLADYS LUZ| 2,261|  0.56
CONTRERAS  GARAY  ANDREA| 2,258|  0.56
QUEZADA  BARAHONA  ALEJANDRO ORLANDO| 2,257|  0.56
MOLINA  HENRIQUEZ  ARTURO ROSAMEL| 2,220|  0.55
AGUAYO  RIVERA  TAMARA| 2,218|  0.55
AQUEDA  MUÑOZ  JOSE| 2,165|  0.54
ALLIU  MOSCOPULOS  KIM-LAN CRISTI| 2,136|  0.53
FUENTES  LAGOS  HUMBERTO PABLO| 2,084|  0.52
