Candidatos|Votos|Porcentaje
2024 Única votación Región METROPOLITANA DE SANTIAGO
BELLOLIO  AVARIA  ALVARO| 82,097|  1.63
DULGER  CASTILLO  IGNACIO| 60,493|  1.2
VERGARA  CATALAN  ALFREDO MAURICIO| 57,636|  1.14
PERALTA  FIERRO  XIMENA BEATRIZ MILAGROS| 48,375|  0.96
LUCK  URBAN  KARIN| 48,225|  0.96
SABAT  FERNANDEZ  FRANCO| 46,900|  0.93
JARA  LIRA  NICOLAS EDUARDO| 44,450|  0.88
NUÑEZ  JIMENEZ  CLAUDINA DEL CARMEN| 43,044|  0.85
PRADO  CARMONA  DANAE NATALIA| 42,794|  0.85
DONOSO  BAEZA  RODRIGO| 42,573|  0.84
OBAL  DURAN  FELIPE| 41,930|  0.83
CASAS-CORDERO  YAÑEZ  VIVIANA ANDREA| 41,473|  0.82
DEL RIO  BECKER  SONJA| 41,077|  0.81
PUELMA  ALFARO  MARIA EUGENIA| 40,121|  0.8
GALLARDO  FUENTES  GABRIELA INES| 38,909|  0.77
ZUNINO  POBLETE  MARCELO| 35,713|  0.71
SEREY  GUERRA  FELIPE ANDRES| 35,566|  0.71
MORALES  MENDEZ  SERGIO ANDRES| 32,935|  0.65
PONTI  RISSETTI  VALERIA| 31,586|  0.63
ALBORNOZ  SOTO  BEATRIZ DEL PILAR| 31,004|  0.61
OTEIZA  FUENZALIDA  CAROLINA| 30,809|  0.61
OYARZUN  BENAVIDES  CAROLINA ELIZABETH| 28,758|  0.57
MARQUEZ  BUSTOS  FRANCISCA| 27,687|  0.55
MUÑOZ  GARAY  SOFIA YASMINA| 26,949|  0.53
ROMO  VARGAS  PATRICIO ISMAEL| 26,266|  0.52
RAMOS  ZAPATA  KARINA ANDREA| 25,794|  0.51
ORTEGA  CONTRERAS  VALERIA ISIDORA| 25,374|  0.5
ARENAS  MUÑOZ  CHRISTOPHER ALEXANDER| 25,349|  0.5
GONZALEZ  KAZAZIAN  JAIME| 25,110|  0.5
ROJAS  CAMPOS  DIOSCORO| 24,408|  0.48
ROMAN  MUÑOZ  CARLOS| 23,422|  0.46
VALDES  LANDEROS  VICTOR MANUEL| 23,178|  0.46
SOTO  MADRID  JOSE PABLO| 22,440|  0.44
AEDO  MEZA  EDITH MYRIAM| 22,333|  0.44
CHAVEZ  SEPULVEDA  RODRIGO ANDRE| 22,296|  0.44
MARTINEZ  DIAZ  NOEMI DEL ROSARIO| 21,828|  0.43
GARRIDO  TORO  NATALIA| 21,812|  0.43
VIVIAN  TRONCOSO  CRISTIAN ALEJANDRO| 20,803|  0.41
MONSALVE  SANHUEZA  LORENA VERONICA| 20,629|  0.41
MELO  MOYA  SADI| 20,422|  0.4
BURGOS  BOBADILLA  CLAUDIO| 20,224|  0.4
VENEGAS  VENEGAS  LESLIE SUSANA| 20,175|  0.4
SPENCER  ROCCO  DANIEL RENATO| 20,025|  0.4
RAMIREZ  GONZALEZ  JAVIER| 19,738|  0.39
BELTRAMI  MONTERO  SANDRA DANIELA| 19,378|  0.38
MIRANDA  MUÑOZ  RUTH| 19,308|  0.38
ZBINDEN  PEREIRA  MARCELA CAROLINA| 19,300|  0.38
JOFRE  RIOS  LEONARDO ANDRES| 18,985|  0.38
CORTES  RAMIREZ  LUIS DAVID| 18,796|  0.37
DONOSO  DORIA  MARICEL| 18,192|  0.36
RAMIREZ  VAZCONCELOS  MARIO FERNANDO| 18,097|  0.36
DE LA PRIDA  BRAVO  MANUEL ANTONIO| 18,090|  0.36
NAVARRO  VARGAS  CAMILA ISIDORA| 17,974|  0.36
GENERAL  ALVAREZ  JOHN| 17,910|  0.36
AGUILO  GONZALEZ  EUGENIO| 17,853|  0.35
OTAROLA  LEON  NEBBIA| 17,791|  0.35
BARRERA  GUAJARDO  JONATHAN ENRIQUE| 17,347|  0.34
ALVAREZ  SANDOVAL  ANTONIA IGNACIA| 17,250|  0.34
TELLERIA  GUTIERREZ  CARLOS| 16,902|  0.34
OXA  LARRONDO  FRANCISCO| 16,835|  0.33
LARRAIN  OLEA  SEBASTIAN| 16,712|  0.33
LEIVA  ROJAS  VANESSA| 16,616|  0.33
AVALOS  OLMOS  NADIA DEL CARMEN| 16,572|  0.33
LANDABUR  GARCES  FREDERIK| 16,453|  0.33
LIZANA  DONOSO  FRANCISCO JAVIER| 16,380|  0.32
HERNANDEZ  GONZALEZ  MERRY STEFANY| 16,160|  0.32
VILLALON  COLIN  CAROLINA| 16,136|  0.32
GARDEL  BERRIOS  CARLOS FERNANDO| 16,102|  0.32
SEPULVEDA  VERA  BARBARA ALEXANDRA| 16,005|  0.32
LAGOS  CAMPOS  BEATRIZ| 15,896|  0.32
