Candidatos|Votos|Porcentaje
2024 Única votación Región DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
BUSTAMANTE  DONOSO  PEDRO JOSE| 15,850|  2.13
MACKAY  JARPA  JUAN CARLOS| 14,012|  1.88
VARGAS  GONZALEZ  JORGE| 12,227|  1.64
CONTRERAS  JORQUERA  GERARDO| 10,909|  1.47
HENRIQUEZ  GONZALEZ  MARIA MARGARITA| 9,493|  1.28
JORQUERA  REINOSO  JACQUELINE ANDREA| 9,300|  1.25
MONROY  VILLAR  TAMARA JEANNETTE| 8,753|  1.18
VARGAS  BOLBARAN  EDGARDO FABIAN| 8,567|  1.15
TORRES  RIVAS  RICHARD ALEXIS| 8,353|  1.12
DONOSO  PAVEZ  MAURICIO| 8,317|  1.12
RAMIREZ  ORTIZ  ALEX| 8,223|  1.11
MOYANO  MADRID  DAMARIE| 8,208|  1.1
NAVARRO  PADILLA  DEYSI| 8,057|  1.08
ZACCONI  QUIROZ  ROSA DEL CARMEN| 7,999|  1.07
DUBOY  PAMPARANA  FRANCISCO| 7,783|  1.05
CRISTOFFANINI  JARAQUEMADA  SEBASTIAN| 7,307|  0.98
GONZALEZ  PALMA  ANA LUZ| 6,911|  0.93
JORQUERA  LOPEZ  HECTOR| 6,890|  0.93
MUÑOZ  SANDOVAL  LUCIA| 6,870|  0.92
HERNANDEZ  GARRIDO  PEDRO| 6,827|  0.92
ROCHA  MEDINA  SEBASTIAN| 6,749|  0.91
MARCHANT  SALINAS  CRISTINA IVONNE| 6,311|  0.85
ARENAS  SAEZ  GERMAN ALBERTO| 6,294|  0.85
VALENZUELA  VAN TREEK  BEATRIZ DE LOURDES| 6,228|  0.84
SOTO  MONTECINOS  ALVARO| 6,228|  0.84
ROJAS  MALDONADO  LIVA EMILENE| 6,201|  0.83
MORALES  BURGOS  MANUEL ANTONIO| 6,121|  0.82
NARVAEZ  ZAPATA  MARCELA| 5,923|  0.8
GONZALEZ  PINO  JOSE IGNACIO| 5,802|  0.78
ZUÑIGA  CALDERON  NATALY CAROLINA| 5,775|  0.78
ESPINOZA  CARRASCO  JULIA ELENA| 5,549|  0.75
TOBAR  MORALES  NATALIA| 5,504|  0.74
JARAMILLO  ARANGUIZ  PABLO| 5,504|  0.74
SEGURA  DUCO  PATRICIA VERONICA| 5,468|  0.73
