Candidatos|Votos|Porcentaje
2024 Única votación Región DE LA ARAUCANIA
CONTRERAS  MALDONADO  MIGUEL ANGEL| 34,218|  4.48
PACHECO  AGUILERA  RODRIGO| 22,376|  2.93
HERNANDEZ  SCHMIDT  EDUARDO| 16,855|  2.21
WICKEL  NAVARRETE  MARISOL| 13,396|  1.76
RODRIGUEZ  RODRIGUEZ  MONICA| 12,008|  1.57
ROVETTO  GRANDON  JOAQUIN| 10,045|  1.32
BRAVO  VALENZUELA  CRISTOBAL| 9,456|  1.24
BRICEÑO  CASTRO  TAMARA LEONOR| 8,862|  1.16
SOTO  CEA  ANA MARIA| 8,429|  1.1
MENDOZA  VASQUEZ  GILDA| 8,309|  1.09
MONSALVES  CASTILLO  HUGO ROLANDO| 8,253|  1.08
VALLEJOS  VALLEJOS  CARLOS ALEXIS| 8,124|  1.06
MARILEO  CALFUQUEO  JULIO NELSON| 7,731|  1.01
GUTIERREZ  SAAVEDRA  MARITA| 7,711|  1.01
SUAZO  SUAZO  SARA| 7,448|  0.98
LIZAMA  DIAZ  JOSE| 7,347|  0.96
YAÑEZ  ARANCIBIA  VICTOR OSVALDO| 7,162|  0.94
HERRERA  GONZALEZ  CRISTIAN ALEXIS| 6,902|  0.9
DONZE  CABEZAS  NICOLAS ALBERTO| 6,823|  0.89
VAN DER MOLEN  MORA  HANS| 6,775|  0.89
POVEDA  LAVADO  MARCELO ANDRES| 6,261|  0.82
GUIDOTTI  VALLEJOS  ESSIO EDGARDO| 6,245|  0.82
NESBET  REUS  PAULINA BEATRIZ| 6,161|  0.81
FLORES  FERNANDEZ  ROLANDO| 5,808|  0.76
ROSALES  NEIRA  LEOPOLDO RODOLFO| 5,704|  0.75
DEVAUD  MORALES  MAURICIO EDUARDO| 5,703|  0.75
ARAVENA  SAAVEDRA  MANUEL| 4,829|  0.63
QUEUPUMIL  MINCHIQUEO  HECTOR| 4,659|  0.61
VEGA  BELLO  JOSE GREGORIO| 4,635|  0.61
MATTA  CUMINAO  ANDRES| 4,444|  0.58
VENEGAS  PEZO  FRANCISCO JAVIER| 4,413|  0.58
NAVARRETE  GUTIERREZ  YASNA MARIBEL| 4,387|  0.57
SEPULVEDA  SEPULVEDA  SAUL ALFREDO| 4,260|  0.56
SALINAS  MANSILLA  JAIME| 4,165|  0.55
PAILLAO  MILLAN  PATRICIA ANDREA| 4,152|  0.54
ALCAMAN  CURIN  MARIA JOSEFA BELEN| 3,980|  0.52
MILLAR  CISTERNAS  JAIME LISTER| 3,924|  0.51
LIRA  NAVARRETE  PATRICIO ANDRES| 3,878|  0.51
MACHEFERT  INOSTROZA  ORLANDO CHRISTIAN| 3,864|  0.51
MEZA  LAVANDERO  ESTRELLA CONSTANZA| 3,830|  0.5
HUERAMAN  RIVAS  LUIS ERNESTO| 3,824|  0.5
FIGUEROA  LIZAMA  FEDERICO| 3,706|  0.49
ASTETE  MELIVILU  LEONARDO| 3,684|  0.48
HENRIQUEZ  ARANEDA  ALEX| 3,631|  0.48
CORTES  IBARRA  MIGUEL ANGEL| 3,565|  0.47
NECULPAN  LINCUANTE  DANIEL ALFREDO| 3,527|  0.46
MALIAN  COLLIO  ALEJANDRA CECILIA| 3,511|  0.46
GARCIA  GODOY  JOSE EDUARDO| 3,497|  0.46
GUARDA  INALAF  CESAR ANTONIO| 3,463|  0.45
QUINTANA  VALDEBENITO  RICHARD MAURICIO| 3,446|  0.45
PAREDES  SANDOVAL  ROBERTO RICARDO| 3,436|  0.45
ISLA  HENRIQUEZ  CLAUDIO| 3,339|  0.44
CADENA  MATUS  PABLO ABELARDO| 3,336|  0.44
CARVACHO  ESCALONA  CONSTANZA ANAIS| 3,271|  0.43
MIERES  PAREDES  SANDRA SUSANA| 3,247|  0.43
SEPULVEDA  SANHUEZA  SEFORA ANTONIA| 3,236|  0.42
HERNANDEZ  AEDO  ALEJANDRO DANILO| 3,235|  0.42
LAVIN  BASSALETTI  MARIA CRISTINA| 3,232|  0.42
CORREA  SEPULVEDA  MICHELLE LISSETH| 3,225|  0.42
MORENO  BURGOS  CESAR| 3,223|  0.42
ALCALDE  NAVARRO  MARIO| 3,223|  0.42
CASTILLO  ALVARADO  VILMA ROXANA| 3,181|  0.42
FERNANDEZ  HUERTA  RENE FERNANDO| 3,177|  0.42
BAYO  ESCALONA  HUGO| 3,140|  0.41
MEYNET  ROBLES  PATRICIA| 3,126|  0.41
LOPEZ  SOTO  ERICA DEL PILAR| 3,108|  0.41
ARTIGAS  VERGARA  PABLO| 3,098|  0.41
QUINTANA  BURGOS  ROBERTO CARLOS| 3,084|  0.4
EHIJOS  MARDONES  SERGIO ERNESTO| 3,053|  0.4
LEAL  LINCOPIL  FABIOLA| 3,005|  0.39
FIGUEROA  ERICES  GISSELA JAZMIN| 2,947|  0.39
CASTILLO  CARDENAS  SERGIO| 2,928|  0.38
ALARCON  HERRERA  STEFANI DEL PILAR| 2,836|  0.37
QUILODRAN  BASCUR  DANIEL HUMBERTO| 2,741|  0.36
NUALART  CASTRO  LEONEL| 2,662|  0.35
CAMPOS  JIMENEZ  REYNIER EDUARDO| 2,598|  0.34
MORA  SALAZAR  ZAUDIEL ALBERTO| 2,576|  0.34
GUZMAN  GUZMAN  MARIA JOSEFA| 2,572|  0.34
GARRIDO  MERA  FERNANDO| 2,546|  0.33
